ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers 2024,Sources,Latitude,Longitude,Description of the location
1022,South Italian,Italy,ITA,nap,Vulnerable,Neapolitan; Neapolitan-Calabrese; неаполитанский; неаполитанско-калабрийский,,7500000,,40.9798,15.249,"Campania, Lucania (Basilicata), Abruzzi (Abruzzo), Molise, northern Calabria, northern and central Apulia (Puglia), southern Lazio and Marche as well as easternmost Umbria"
1023,Sicilian,Italy,ITA,scn,Vulnerable,,,5000000,,37.4399,14.5019,"Sicily (Sicilia), southern and central Calabria and southern Apulia (Puglia); a large number of émigré communities"
383,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation","DEU, DNK, NLD, POL, RUS","act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,"Low German, Niedersächsisch, Nedersaksisch, Niederdeutsch, Plattdeutsch ",Neddersassisch,4800000,,53.4029,10.3601,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere"
335,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BRB, LVA, LTU, POL, RUS, UKR",bel,Vulnerable,,,4000000,"Hienadź Cychun: Weißrussisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 563–579.",53.956,27.5756,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries
382,Lombard,"Italy, Switzerland","ITA, CHE",lmo,Definitely endangered,,,3500000,,45.7215,9.3273,"the region of Lombardy (except the southernmost border areas) and the Novara province in Piedmont, Italy; Ticino Canton and the Mesolcina District and two districts south of St. Moritz in Graubünden (Grigioni), Switzerland"
405,Romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","ALB, DEU, AUT, BRB, BIH, BGR, HRV, EST, FIN, FRA, GRC, HUN, ITA, LVA, LTU, MKD, NLD, POL, ROU, GBR, RUS, SVK, SVN, CHE, CZE, TUR, UKR, SRB, MNE","rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",,3500000,"Yaron Matras: Romani: a linguistic introduction. Cambridge: Cambridge University Press,  2002.",46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans"
2211,Yiddish (Israel),Israel,ISR,ydd,Definitely endangered,Judeo-German,,3000000,"Neil G. Jacobs: Yiddish: a linguistic introduction. Cambridge: Cambridge University Press, 2005.",32.0833,34.8333,"most speakers now live outside Europe, mainly in North America and Israel; cf. Yiddish (Europe)"
1586,Gondi,India,IND,gon,Vulnerable,"Gondi; Gaudi; Gondiva; Gondwadi; Goondile; Goudwal; Ghond; Godi; Gondu; Goudi
",,2713790,,19.5804,80.4418,"Madhya Pradesh (Betul, Chhindwara, Seoni, Mandla, Balaghat), Maharashtra (Amravati, Wardha, Nagpur, Bhandara, Yavatmal); also in Andhra Pradesh and Orissa"
1020,Limburgian-Ripuarian,"Germany, Belgium, Netherlands","DEU, BEL, NLD","ksh, lim",Vulnerable,Colognian (dialect; in German: Kölsch),,2600000,,50.7781,6.0864,Limburg provinces in Belgium and the Netherlands and Rhineland in Germany
1943,Quechua of Southern Bolivia,Bolivia (Plurinational State of),BOL,quh,Vulnerable,,,2300000,,-18.0675,-65.7641,"Departments of Cochabamba, Chuquisaca, Potosí and Oruro in Bolivia."
1565,Kumaoni,"India, Nepal","IND, NPL",kfy,Vulnerable,Kumauni; Kamaoni; Kumau; Kumawani; Kumgoni,,2003783,,29.4778,79.8486,"Uttarakhand, also in Uttar Pradesh, Madhya Pradesh, Assam and Bihar; also in Nepal"
755,Aymara,"Bolivia (Plurinational State of), Chile, Peru","BOL, CHL, PER","ayc, ayr",Vulnerable,"Aimara, Jaqi Aru, Southern Aymara.",,2000000,www.inei.gob.pe para  aymara en el Perú (Censo de 2007).,-16.5835,-68.302,"Departamentos  de Puno,  Moquegua y Tacna, en el Perú. Area del lago Titicaca, donde se  incluye también el Altiplano boliviano.
In Bolivia: departments of La Paz, Oruro, Potosí and Cochabamba.
In Chile: Province of Tarapacá (interior of Arica, Iquique)."
349,Emilian-Romagnol,"Italy, San Marino","ITA, SMR",eml,Definitely endangered,,,2000000,,44.127,12.0739,"the region of Emilia-Romagna, parts of the provinces of Pavia, Voghera, and Mantua in southern Lombardy, the Lunigiana district in northwestern Tuscany, the Pesaro-Urbino province in the region of Marche and the Republic of San Marino"
399,Piedmontese,Italy,ITA,pms,Definitely endangered,,,2000000,,45.2013,7.8662,"Piedmont Region except the Novara Province, the western Alpine valleys and southern border areas, as well as minor adjacent areas"
1021,Venetan,"Croatia, Italy, Slovenia","HRV, ITA, SVN",vec,Vulnerable,,,2000000,http://www.elgalepin.com/,45.4601,12.1948,"Veneto region, parts of Friuli-Venezia Giulia, Italy; Istria in both Slovenia and Croatia"
1985,Zazaki,Turkey,TUR,zza,Vulnerable,Zaza; Dimli; Kirmanjki,,2000000,"Ludwig Paul: Zazaki: Grammatik und Versuch einer Dialektologie. Beiträge zur Iranistik 18; Wiesbaden: Reichert, 1998.
http://www.ethnologue.com/show_language.asp?code=zza
http://www.zazaki.de/englisch/index.htm

",38.8824,40.4846,"Tunceli, Erzincan, Elazığ and Bingöl provinces, Hınıs district of Erzurum Province, the eastern parts of Sivas Province, Varto district of Muş Province, Sarız district of Kayseri Province, the northern and western parts of Diyarbakır Province, Siverek district of Şanlıurfa Province as well as small areas in adjacent provinces. Many immigrants in Europe."
1591,Kurux (India),India,IND,kru,Vulnerable,Kurukh; Oraon,,1751489,,22.1467,85.2758,Jharkhand and Bihar
2065,Tamajeq,Niger,NER,thz,Vulnerable,,,1750000,"Tuareg organisations (eg Temoust, Lyon see websites)
Data presented numerous times at UN Commission / Council for Human Rights",17.2352,8.0859,
1585,Tulu,India,IND,tcy,Vulnerable,"Tuluva Bhasa; Tullu; Thulu; Tal; Tilu; Thalu
",,1722768,,12.0178,75.7067,"Karnataka, Andhra Pradesh, Kerala"
1556,Kangdi,India,IND,xnr,Definitely endangered,Dogaryali; Dogri Pahari;  Tokkaru; Dogri-Kangra; Bhatbali; Bhatbali; East Dogri; Kangri; Kangra,,1700000,,32.4356,76.1242,Himachal Pradesh
410,Scots,United Kingdom of Great Britain and Northern Ireland,GBR,sco,Vulnerable,Lallans; Northumbrian (local name in England),,1500000,,56.2189,-3.7683,Lowland Scotland and adjacent parts of England; émigré communities in Ireland
1026,Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","ALB, BGR, MKD, ROU, SRB","bos, hrv, srp",Vulnerable,"Shop; dialects: Goran, Janjev, Krashovan",,1500000,,42.9644,22.1374,"the core area: south-eastern Serbia, the westernmost parts of Bulgaria, the north-eastern region of the FYROM and, at least until recently, parts of southern Kosovo (Serbia); Goran: the border region of Kosovo, Albania and the FYROM; Janjev: south-eastern Kosovo (Serbia), from where most speakers have emigrated to Croatia; Krashovan: the region of Caraşova in Caraş-Severin County in the Romanian Banat"
1476,West Flemish,"Belgium, France, Netherlands","BEL, FRA, NLD","vls, zea",Vulnerable,Western Flemish; Zeelandic (Zeêuws),,1500000,"Devos, M.& Vandekerckhove, R. (2006). Taal in stad en land WEST-VLAAMS, Lannoo, 170 pp.
Streektaal.net http://taal.phileon.nl/index.php
",51.0275,3.0541,"the province of Zealand, the Netherlands; West Flanders, Belgium; and French Flanders, where definitively if not severely endangered"
334,Bashkir,Russian Federation,RUS,bak,Vulnerable,Bashkort,,1379727,"А. А. Юлдашев: Башкирский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 206–216.",54.7309,55.9863,the Republic of Bashkortostan and adjacent regions
1067,Chechen,Russian Federation,RUS,che,Vulnerable,,,1331844,,43.1971,45.7031,the Republic of Chechenia and adjacent regions
338,Chuvash,Russian Federation,RUS,chv,Vulnerable,,,1325382,"И. А. Андреев: Чувашский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 480–491.",56.1394,47.2412,Chuvash Republic and adjacent regions
1227,Meithei,India,IND,mni,Vulnerable,"Manipuri, Meitei",,1250000,,24.7667,93.8946,"Manipur (throughout, but concentrated in the Manipur valley)
 "
1114,Tamang,"India, Nepal","IND, NPL","taj, tge, tmk, tsf, tdg",Vulnerable,तामाङ; तामाङ्ग; Murmi (obsolete),,1196639,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",27.7365,85.6858,"Dispersed throughout central and eastern hills of Nepal. Bāgmatī, Nārāyaṇī and Janakpur zones, in Kābhrepālañcok, Makvānpur, SIndhupālcok, Nuvākoṭ, Dhādiṅ, Sindhulī, Rāmechāp, Bagmatī, Dolakhā and Rasuvā districts. Also found in India (Sikkim)."
1013,Quechua of Cuzco,Peru,PER,quz,Vulnerable,Quechua Cuzco-Collao,,1115000,,-13.4537,-72.0098,"Cuzco, partes de  Arequipa, Puno, Apurímac (Abancay), Moquegua (Ubinas)."
1024,Eastern Slovak,"Slovakia, Ukraine","SVK, UKR",slk,Vulnerable,,,1000000,"Aleksandr D. Duličenko: Ostslowakisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 355–358.",48.8068,21.7968,"Spiš, Šariš, Zemplín and Abov regions in eastern Slovakia; a regional language not recognized by the SIL"
377,Ligurian,"France, Italy, Monaco","FRA, ITA, MCO",lij,Definitely endangered,Monégasque (dialect),,1000000,,44.5748,8.7011,"Liguria and adjacent areas of Piedmont, Emilia and Tuscany, Italy; the villages of Tende, La Brigue, Fontan, Saorge, Breil-sur-Roya in the eastern corner of the department of Alpes-Maritimes, France; settlements in the towns of Carloforte on the San Pietro island and Calasetta on the Sant’Antioco island off the southwest coast of Sardinia, Italy, as well as in the town of Bonifacio in Corsica; until the twentieth century also Monaco, where Ligurian is still used and studied as a second language, and the villages of Biot, Vallauris, Mons and Escragnoles in the department of Alpes-Maritimes, France"
407,Rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR",rue,Vulnerable,"Ruthenian, Carpatho-Rusyn. Dialects: Lemko (Lemke), Boyko, Hutzulian",,1000000,"Русиньскый язык. Redaktor naukowy Paul Robert Magocsi. Opole: Uniwersytet Opolski, Instytut Filologii Polskej, 2004. || Marc Stegherr: Rusinisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 399–408. || Encyclopedia of Rusyn history and culture. Paul Robert Magocsi and Ivan Pop, editors. Toronto: University of Toronto Press, 2002.",48.4437,22.9394,Trans-Carpathian region of Ukraine
1515,Talysh,"Azerbaijan, Iran (Islamic Republic of)","AZE, IRN",tly,Vulnerable,,,1000000,,38.814,48.6804,"the northern regions of Gilan and Ardabil provinces, Iran; the southernmost parts of Azerbaijan"
1577,Kui,India,IND,kxu,Vulnerable,"Kuy; Kandh; Khondi; Khond(o); Kodu; Kanda; Kodulu
",,916222,,19.5908,83.9575,"Orissa (Phulbani, Koraput, Ganjam); also in Andhra Pradesh and Madhya Pradesh"
1231,Khasi,India,IND,kha,Vulnerable,,,912000,,25.691,91.8676,eastern half of Meghalaya
1229,Bodo,India,IND,brx,Vulnerable,"Boro, Kachari",,900000,,26.7554,92.8674,"north bank of the Brahmaputra, Sonitpur and Darrang districts"
337,Campidanese,Italy,ITA,sro,Definitely endangered,Campidanese Sardinian,,900000,,39.2991,8.9868,southern Sardinia
1803,K'iche' (Guatemala),Guatemala,GTM,quc,Vulnerable,"Chiquel, Cachbel, Chuil quiché, cunenteco, Cantel Quiché, Quiché",,890596, XI Censo Nacional de Población for number of speakers and language names; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations.,15.0309,-91.1485,"Among the localities listed in the Ethnologue: El Quiché dept., Quetzaltenango, Cunén, Chichicastenango, Joyabaj, San Andrés Sajeabajá, Atitlán in Quetzaltenango dept.; Totinicapán dept, Santa Cruz Quiché"
989,Quechua of Ayacucho,Peru,PER,quy,Definitely endangered,Quechua Ayacucho-Chanka. Chanka (Quechua).,,850000,,-13.1276,-74.2071,"Departamentos de Ayacucho, Huancavelica y partes de  Apurimac y Arequipa."
1117,Newar,Nepal,NPL,new,Definitely endangered,नेवार; Nepal Bhasa; Newari,,825458,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",27.6981,85.3198,Kathmandu valley
2222,Mon,"Myanmar, Thailand","MMR, THA",mnw,Vulnerable,Talaing,,800000,,16.4666,97.7833,
1523,Polesian,"Belarus, Poland, Ukraine","BRB, POL, UKR",,Vulnerable,,,800000,"Aleksandr D. Duličenko: Westpolesisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 581–587.",51.8629,23.9501,"the south-west of Belarus, the north-west of the Ukraine and adjacent Poland; a regional language not recognized by the SIL"
701,Tamaceq,Mali,MLI,taq,Definitely endangered,"Tamacheq, Tamasheq",,800000,"Official population figures, Local and international organisations
Numerous publications on background",16.7992,-3.0102,"Central, and northeast Mali, Kidal, Tombouctou areas. 
Also spoken in Algeria, Burkina Faso
"
1069,Avar,Russian Federation,RUS,ava,Vulnerable,,,784840,,42.4801,46.8017,parts of the Republic of Daghestan
1211,Mundari,India,IND,muw,Vulnerable,Horo,,750000,,22.3297,86.0449,"Jharkhand, mainly in  Ranchi Dt.; some speakers in Madhya Pradesh"
425,Welsh,United Kingdom of Great Britain and Northern Ireland,GBR,cym,Vulnerable,y Gymraeg,Cymraeg,750000,"T. Arwyn Watkins: Welsh. — The Celtic languages. Edited by Martin J. Ball with James Fife. London and New York: Routledge, 1993. 289–348.",52.4459,-3.5485,Wales and adjacent parts of England; émigré communities in Patagonia
