,Unnamed: 0,ISO639-3 codes,Name in English_2023,Alternate names_2023,Degree of endangerment_2023,Number of speakers (2023),Language Branch,Comments,Description of language,Countries_2023,Continent,Coordinates,ID,Name in English_2024,Countries_2024,Country codes alpha 3,Degree of endangerment_2024,Alternate names_2024,Name in the language,Number of speakers 2024,Sources,Latitude,Longitude,Description of the location,Speaker Change (%),Speaker Change (absolute)
0,3956,bpk,'Ôrôê,Orowe; Boewe; Neukaledonien;,"Endangered (20 percent certain, based on the evidence available)",590.0,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,,,New Caledonia;,Pacific,"-21.4223,165.4678",2497,Orowe,New Caledonia (France),NCL,Definitely endangered,abwébwé,,587.0,1996 Census,-21.4223,165.4678,Bourail,-0.5084745762711864,-3.0
1,1933,taa,(Lower) Tanana,,"Critically Endangered (80 percent certain, based on the evidence available)",25.0,Athabaskan-Eyak-Tlingit; Dene (Athabaskan),,"Tanana is the language of the Lower Tanana river, extending from Salcha through Fairbanks and Nenana to the Minto Flats.",USA;,North America,"65.157778, -149.37;64.521111, -146.980556;64.558056,-149.090556",161,Tanana,United States of America,USA,Critically endangered,Lower Tanana,,15.0,"Krauss 2007, 
Golla et al. ms.",64.605,-149.0625,"villages of Minto and Nenana, was also spoken in a number of villages on the Tanana River",-40.0,-10.0
2,1043,con,A'ingae,Kofane; Cofán; Kofán; A'i; A'ingaé; Colin; Kofan; A'ingae;,"Vulnerable (100 percent certain, based on the evidence available)",1500.0,Isolate; South American,,,Colombia;Ecuador;,South America,"0.054639, -77.409417",1835,A'ingae / Cofan (Ecuador),Ecuador,ECU,Definitely endangered,"Cofan, Kofan (see Colombia)",,700.0,"- CODENPE - PRODEPINE, Diagnóstico Participativo y Plan de Desarrollo Local de la Nacionalidad Cofán, 2002-2205.  
- Fischer, Rafael.  2005. “Documentación y descripción gramatical del A’ingae (Cofán)”. (Conferencia presentada en la Universidad Católica, Quito, octubre 07, 2005) (versión digital).
- Juncosa, José. 1999.  Mapa lingüístico de la Amazonia ecuatoriana. Quito: Abya-Yala.
",0.0659,-76.7065,"In Ecuador: Province of Sucumbíos, Lago Agrio county,  Dureno and  Jambelí parishes; Cascales county,  El Dorado parish; Cuyabeno county, Cuyabeno parish;  Sucumbíos county, La Bonita parish. Major settlements are in Sinangue, Dovuno, Dureno and Zabalo,",-53.333333333333336,-800.0
3,1043,con,A'ingae,Kofane; Cofán; Kofán; A'i; A'ingaé; Colin; Kofan; A'ingae;,"Vulnerable (100 percent certain, based on the evidence available)",1500.0,Isolate; South American,,,Colombia;Ecuador;,South America,"0.054639, -77.409417",1882,A'ingae / Cofan (Colombia),Colombia,COL,Severely endangered,"Kofan, A'i, A'ingae, Kofane, Cofan",,379.0,"Fundación Zio-A'I Unión de Sabiduría - Censo - 2008
Tobar, María Elena. Dwswnga a’indekhwmbe ingi ayafangae ateswpa tsaiki:  Gramática Pedagógica para Bachillerato (6 ° a 11 °).  2008
Tobar, María Elena. Ingi ayafangae ateswpa tsaiki: Gramática Pedagógica de la lengua Cofán de cero a quinto grado de escolaridad. 2004",0.4525,-76.9191,"Colombia-Ecuador border area. In Colombia, Department of Putumayo, in Orito, Valle del Guamuez and San Miguel.",-74.73333333333333,-1121.0
4,3581,aas,Aasáx,"Asax; Asá; Aasá; Assa; Asak; ""Ndorobo""; ""Dorobo""; Lamanik; Il Konono; Asa; Aasax;",Dormant ,0.0,Afro-Asiatic; Cushitic; South Cushitic,,,Tanzania;,Africa,"-5.1948,37.738",116,Aasax,United Republic of Tanzania,TZA,Extinct,Asa,,0.0,Maarten Mous,-5.1948,37.738,,,0.0
5,3584,abf,Abai Sungai,,"Endangered (20 percent certain, based on the evidence available)",500.0,Austronesian; Malayo-Polynesian; North Borneo; Sabahan,,,Malaysia;,Southeast Asia,"5.587, 118.3695",2264,Abai Sungai,Malaysia,MYS,Definitely endangered,,,400.0,Grimes 2000,5.587,118.3695,"Sabah, Malaysia",-20.0,-100.0
6,641,aca,Achagua,Achagua; Xagua; Ajagua; Achawa;,"Endangered (20 percent certain, based on the evidence available)",283.0,Arawakan; Northern Arawakan; Upper Amazon,,,Colombia;,South America,"4.434,-70.8837",284,Achagua,Colombia,COL,Severely endangered,"Xagua, Ajagua, Axagua",,283.0,"www.etniasdecolombia.org
Arango and Sánchez (2004)",4.434,-70.8837,Resguardos La Victoria (Umapo) and Turpial in the municipality of Puerto López (Meta). Location shared with Piapoco speakers.,0.0,0.0
7,1520,guq,Aché,Axe; Guaiaqui; Guoyagui; Guayakí; Guayaki-Ache; Guayaki; Guayaquí; Guaiaqui; Guajaki; Guoyagui;,"Severely Endangered (60 percent certain, based on the evidence available)",200.0,Tupian; Tupi-Guaranian; Guaranian,,,Paraguay;,South America,"-25.25,-55.1666666667",2186,Aché,Paraguay,PRY,Definitely endangered,,,,,-25.6613,-55.6787,,,
8,3591,acz,Acheron,Garme; Asheron; Aceron; Achurun;,"Vulnerable (20 percent certain, based on the evidence available)",70000.0,Niger-Congo; Talodi,,,Sudan;,Africa,"10.809,30.2453",1713,Acheron,Sudan,SDN,Severely endangered,Game,,70000.0,"UN interagency assessment missions, vaccination campaigns
Editor's field visit",10.809,30.2453,"Northern Sudan, Kordofan Province, southern Nuba Hills. Acheron ",0.0,0.0
9,647,acr,Achi',Rabinal K'iche'; Achí;,"Vulnerable (20 percent certain, based on the evidence available)",51593.0,Mayan; K'ichean,Considered a dialect of K'iche' by many linguists.,,Guatemala;,"Mexico, Central America, Caribbean","15.0845,-90.4888",1777,Achi',Guatemala,GTM,Vulnerable,,,82640.0,XI Censo Nacional de Población for number of speakers and names of languages; Contributor H. Antonio García Zúñiga consulted Ethnologue for some locations.,15.0845,-90.4888,"West of Rabinal, Baja Verapaz dept.",60.17676816622411,31047.0
