Name in English,Countries,Degree of endangerment,Number of speakers
South Italian,Italy,Vulnerable,7500000.0
Sicilian,Italy,Vulnerable,5000000.0
Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation",Vulnerable,4800000.0
Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",Vulnerable,4000000.0
Lombard,"Italy, Switzerland",Definitely endangered,3500000.0
Romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro",Definitely endangered,3500000.0
Yiddish (Israel),Israel,Definitely endangered,3000000.0
Gondi,India,Vulnerable,2713790.0
Limburgian-Ripuarian,"Germany, Belgium, Netherlands",Vulnerable,2600000.0
Quechua of Southern Bolivia,Bolivia (Plurinational State of),Vulnerable,2300000.0
Kumaoni,"India, Nepal",Vulnerable,2003783.0
Aymara,"Bolivia (Plurinational State of), Chile, Peru",Vulnerable,2000000.0
Emilian-Romagnol,"Italy, San Marino",Definitely endangered,2000000.0
Piedmontese,Italy,Definitely endangered,2000000.0
Venetan,"Croatia, Italy, Slovenia",Vulnerable,2000000.0
Zazaki,Turkey,Vulnerable,2000000.0
Kurux (India),India,Vulnerable,1751489.0
Tamajeq,Niger,Vulnerable,1750000.0
Tulu,India,Vulnerable,1722768.0
Kangdi,India,Definitely endangered,1700000.0
Scots,United Kingdom of Great Britain and Northern Ireland,Vulnerable,1500000.0
Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia",Vulnerable,1500000.0
West Flemish,"Belgium, France, Netherlands",Vulnerable,1500000.0
Bashkir,Russian Federation,Vulnerable,1379727.0
Chechen,Russian Federation,Vulnerable,1331844.0
Chuvash,Russian Federation,Vulnerable,1325382.0
Meithei,India,Vulnerable,1250000.0
Tamang,"India, Nepal",Vulnerable,1196639.0
Quechua of Cuzco,Peru,Vulnerable,1115000.0
Eastern Slovak,"Slovakia, Ukraine",Vulnerable,1000000.0
Ligurian,"France, Italy, Monaco",Definitely endangered,1000000.0
Rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine",Vulnerable,1000000.0
Talysh,"Azerbaijan, Iran (Islamic Republic of)",Vulnerable,1000000.0
Kui,India,Vulnerable,916222.0
Khasi,India,Vulnerable,912000.0
Bodo,India,Vulnerable,900000.0
Campidanese,Italy,Definitely endangered,900000.0
K'iche' (Guatemala),Guatemala,Vulnerable,890596.0
Quechua of Ayacucho,Peru,Definitely endangered,850000.0
Newar,Nepal,Definitely endangered,825458.0
Mon,"Myanmar, Thailand",Vulnerable,800000.0
Polesian,"Belarus, Poland, Ukraine",Vulnerable,800000.0
Tamaceq,Mali,Definitely endangered,800000.0
Avar,Russian Federation,Vulnerable,784840.0
Mundari,India,Vulnerable,750000.0
Welsh,United Kingdom of Great Britain and Northern Ireland,Vulnerable,750000.0
Angika,"India, Nepal",Vulnerable,740892.0
Q'eqchi' (Guatemala),Guatemala,Vulnerable,716101.0
Picard,"Belgium, France",Severely endangered,700000.0
Kokborok,"Bangladesh, India",Vulnerable,695000.0
Basque,"Spain, France",Vulnerable,660000.0
Kabard-Cherkes,"Russian Federation, Turkey",Vulnerable,650000.0
Mandeali,India,Definitely endangered,611930.0
Friulian,Italy,Definitely endangered,600000.0
Quechua of Ancash and Huánuco,Peru,Definitely endangered,600000.0
Walloon,"Belgium, France, Luxembourg",Definitely endangered,600000.0
Mising,India,Definitely endangered,550000.0
Ossete,"Georgia, Russian Federation",Vulnerable,550000.0
Mizo,India,Vulnerable,529000.0
Dargwa,Russian Federation,Vulnerable,503523.0
Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia",Definitely endangered,500000.0
Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan",Vulnerable,500000.0
Languedocian,France,Severely endangered,500000.0
Lezgian,"Azerbaijan, Russian Federation",Vulnerable,500000.0
Mahasui,India,Definitely endangered,496024.0
Magar,Nepal,Definitely endangered,489383.0
Mam (Guatemala),Guatemala,Vulnerable,477717.0
Udmurt,Russian Federation,Definitely endangered,463837.0
Huasteca Náhuatl,Mexico,Vulnerable,463183.0
Kumyk,Russian Federation,Vulnerable,458121.0
Yakut,Russian Federation,Vulnerable,456288.0
Kaqchikel (Guatemala),Guatemala,Vulnerable,444954.0
Karbi,India,Vulnerable,420000.0
Eastern Mari,Russian Federation,Definitely endangered,414211.0
Ingush,Russian Federation,Vulnerable,405343.0
Erzya,Russian Federation,Definitely endangered,400000.0
Ho,India,Vulnerable,400000.0
Judezmo (Israel),Israel,Severely endangered,400000.0
Lalo,China,Vulnerable,400000.0
Limousin,France,Severely endangered,400000.0
Logudorese,Italy,Definitely endangered,400000.0
Mapuche (Chile),Chile,Definitely endangered,400000.0
Central Náhuatl,Mexico,Vulnerable,395581.0
Moselle Franconian,"Germany, Belgium, France, Luxembourg",Vulnerable,390000.0
Bantawa,Nepal,Vulnerable,371056.0
Santa,China,Vulnerable,360000.0
Mingrelian,Georgia,Definitely endangered,350000.0
West Frisian,Netherlands,Vulnerable,350000.0
Gurung,Nepal,Definitely endangered,338925.0
Guajiro,"Colombia, Venezuela (Bolivarian Republic of)",Vulnerable,318500.0
Karachay-Balkar,Russian Federation,Vulnerable,302748.0
Adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey",Vulnerable,300000.0
Buryat (Trans-Baikal),Russian Federation,Definitely endangered,300000.0
Kurru,India,Definitely endangered,300000.0
Kuvi,India,Definitely endangered,300000.0
Limbu,"India, Nepal",Definitely endangered,300000.0
Moroccan Judeo-Arabic (Israel),Israel,Definitely endangered,300000.0
Plautdietsch,Ukraine,Definitely endangered,300000.0
Pontic Greek,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine",Definitely endangered,300000.0
"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Ecuador,Definitely endangered,300000.0
Waxiang,China,Vulnerable,300000.0
