Language,Countries,Degree of endangerment,Number of speakers,Endangerment_Level
kede,Angola,Extinct,0,5
munji,Afghanistan,Severely endangered,2000,3
chru,Viet Nam,Vulnerable,12000,1
parachi,Afghanistan,Definitely endangered,6000,2
bolo,Angola,Definitely endangered,2627,2
taznatit,Algeria,Severely endangered,80000,3
avaguaran,Argentina,Definitely endangered,2000,2
lakon,Vanuatu,Vulnerable,700,1
amba,Uganda,Vulnerable,16000,1
patani malay,Thailand,Vulnerable,40000,1
vilela,Argentina,Extinct,0,5
heiban,Sudan,Vulnerable,90000,1
jolakassa,Senegal,Vulnerable,40850,1
dupaninan agta,Philippines,Vulnerable,1400,1
awajun,Peru,Vulnerable,39000,1
aymara,Bolivia,Safe,2000000,0
marrgu,Australia,Extinct,0,5
walmajarri,Australia,Definitely endangered,500,2
nivacl,Paraguay,Vulnerable,1000,1
yucatec,Belize,Definitely endangered,3155,2
kuna,Panama,Vulnerable,61703,1
burushaski,Pakistan,Vulnerable,87000,1
kunbarlang,Australia,Severely endangered,140,3
ngarla,Australia,Extinct,0,5
bade,Nigeria,Vulnerable,250000,1
bashkir,Russia,Safe,1379727,0
kilit,Azerbaijan,Extinct,0,5
chocangacakha,Bhutan,Definitely endangered,20000,2
belarusian,Belarus,Safe,4000000,0
deti,Botswana,Extinct,0,5
amanay,Brazil,Extinct,0,5
panamahka,Nicaragua,Vulnerable,9000,1
yeyi,Botswana,Definitely endangered,20000,2
maori,New Zealand,Vulnerable,70000,1
west frisian,Netherlands,Vulnerable,350000,1
bantawa,Nepal,Vulnerable,371056,1
kaingang,Brazil,Definitely endangered,18500,2
kryz,Azerbaijan,Severely endangered,10000,3
pana,Burkina Faso,Definitely endangered,7800,2
kaco,Cambodia,Definitely endangered,1000,2
kuk,Cameroon,Definitely endangered,3000,2
krenj,Brazil,Extinct,0,5
mku,Brazil,Extinct,0,5
sak bangladesh,Bangladesh,Severely endangered,5500,3
mopn belize,Belize,Severely endangered,8980,3
sak,Myanmar,Vulnerable,3500,1
figuig,Morocco,Vulnerable,1000,1
inuinnaqtun,Canada,Definitely endangered,890,2
mra,Brazil,Extinct,0,5
gadang,Chad,Definitely endangered,2500,2
chechen,Russia,Safe,1331844,0
chichimec,Mexico,Vulnerable,1000,1
mapuche,Chile,Definitely endangered,400000,2
chuvash,Russia,Safe,1325382,0
cosung,China,Definitely endangered,47000,2
duli,Cameroon,Extinct,0,5
terena,Brazil,Severely endangered,19000,3
gey,Cameroon,Extinct,0,5
pentlatch,Canada,Extinct,0,5
pear,Cambodia,Severely endangered,250,3
tsetsaut,Canada,Extinct,0,5
emilianromagnol,Italy,Safe,2000000,0
berakou,Chad,Extinct,0,5
kendem,Cameroon,Severely endangered,1500,3
horo,Chad,Extinct,0,5
babuza,China,Extinct,0,5
burji,Kenya,Vulnerable,7000,1
gondi,India,Safe,2713790,0
ketangalan,China,Extinct,0,5
nisgaa,Canada,Severely endangered,265,3
kulun,China,Extinct,0,5
guambiano,Colombia,Definitely endangered,23462,2
siraiya,China,Extinct,0,5
taokas,China,Extinct,0,5
oponcarare,Colombia,Extinct,0,5
pijao,Colombia,Extinct,0,5
eotile,Côte d'Ivoire,Extinct,0,5
isirawa,Indonesia,Vulnerable,1800,1
tonjon,Côte d'Ivoire,Extinct,0,5
toram,Chad,Severely endangered,8456,3
rapanui,Chile,Severely endangered,2500,3
dalmatian,Croatia,Extinct,0,5
sibe,China,Severely endangered,27000,3
ngbere,Costa Rica,Definitely endangered,2041,2
carib,Dominica,Extinct,0,5
tsafiki,Ecuador,Definitely endangered,2000,2
siwi,Egypt,Definitely endangered,15000,2
tsamay,Ethiopia,Definitely endangered,8621,2
vumbu,Gabon,Definitely endangered,2460,2
kangdi,India,Safe,1700000,0
inga,Colombia,Severely endangered,8000,3
andoa,Ecuador,Extinct,0,5
svan,Georgia,Definitely endangered,80000,2
sorbian,Germany,Definitely endangered,19500,2
kamara,Ghana,Definitely endangered,3000,2
bonjo,Congo,Severely endangered,3000,3
tetete,Ecuador,Extinct,0,5
guatuso,Costa Rica,Severely endangered,300,3
coptic,Egypt,Extinct,0,5
gafat,Ethiopia,Extinct,0,5
jeri,Côte d'Ivoire,Severely endangered,1500,3
geez,Ethiopia,Extinct,0,5
qwarenya,Ethiopia,Extinct,0,5
arbanasi,Croatia,Severely endangered,500,3
tzutujil,Guatemala,Definitely endangered,63237,2
nalu,Guinea,Definitely endangered,13000,2
polabian,Germany,Extinct,0,5
baga,Guinea,Extinct,0,5
quichua,Ecuador,Severely endangered,45000,3
kemant,Ethiopia,Severely endangered,1500,3
cuman,Hungary,Extinct,0,5
churahi,India,Definitely endangered,61199,2
karbi,India,Vulnerable,420000,1
ahom,India,Extinct,0,5
andro,India,Extinct,0,5
chairel,India,Extinct,0,5
kumaoni,India,Safe,2003783,0
limousin,France,Severely endangered,400000,3
rangkas,India,Extinct,0,5
kurux india,India,Safe,1751489,0
sengmai,India,Extinct,0,5
bats,Georgia,Severely endangered,500,3
frisian,Germany,Severely endangered,10000,3
limburgianripuarian,Germany,Safe,2600000,0
arvanitika,Greece,Severely endangered,50000,3
badiaranke,Guinea,Severely endangered,12205,3
pech,Honduras,Severely endangered,900,3
lombard,Italy,Safe,3500000,0
low saxon,Many,Safe,4800000,0
bahonsuai,Indonesia,Definitely endangered,180,2
baleasang,Indonesia,Definitely endangered,3000,2
benggoi,Indonesia,Definitely endangered,320,2
dampelas,Indonesia,Definitely endangered,1000,2
geta,India,Severely endangered,3000,3
demisa,Indonesia,Definitely endangered,450,2
emplawas,Indonesia,Definitely endangered,220,2
gorap,Indonesia,Definitely endangered,1000,2
kadai,Indonesia,Definitely endangered,200,2
kaibobo,Indonesia,Definitely endangered,250,2
kalao,Indonesia,Definitely endangered,400,2
palumata,Indonesia,Extinct,0,5
kao,Indonesia,Definitely endangered,200,2
koroni,Indonesia,Definitely endangered,400,2
piru,Indonesia,Extinct,0,5
laiyolo,Indonesia,Definitely endangered,600,2
macushi,Guyana,Vulnerable,7750,1
tandia,Indonesia,Extinct,0,5
maremgi,Indonesia,Definitely endangered,40,2
nila seram island,Indonesia,Definitely endangered,1800,2
meithei,India,Safe,1250000,0
oirata,Indonesia,Definitely endangered,1221,2
palue,Indonesia,Definitely endangered,3000,2
helong,Indonesia,Severely endangered,9000,3
panasuan,Indonesia,Definitely endangered,800,2
poqomchi,Guatemala,Vulnerable,92941,1
saparua,Indonesia,Definitely endangered,10216,2
sobei,Indonesia,Definitely endangered,1000,2
taikat,Indonesia,Definitely endangered,500,2
taloki,Indonesia,Definitely endangered,500,2
talondo,Indonesia,Definitely endangered,400,2
teun seram island,Indonesia,Definitely endangered,1200,2
tomadino,Indonesia,Definitely endangered,500,2
toratn,Indonesia,Definitely endangered,500,2
ujir,Indonesia,Definitely endangered,1200,2
wano,Indonesia,Definitely endangered,3500,2
wari,Indonesia,Definitely endangered,150,2
waru,Indonesia,Definitely endangered,300,2
juhur israel,Israel,Definitely endangered,1000,2
moroccan judeoarabic israel,Israel,Definitely endangered,300000,2
konni,Ghana,Vulnerable,3800,1
