Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level
South Italian,Italy,vulnerable,7500000,1
Sicilian,Italy,vulnerable,5000000,1
Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation",vulnerable,4800000,1
Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",vulnerable,4000000,1
Lombard,"Italy, Switzerland",definitely endangered,3500000,2
Romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro",definitely endangered,3500000,2
Yiddish,Israel,definitely endangered,3000000,2
Gondi,India,vulnerable,2713790,1
Limburgian-Ripuarian,"Germany, Belgium, Netherlands",vulnerable,2600000,1
Quechua of Southern Bolivia,Bolivia (Plurinational State of),vulnerable,2300000,1
Kumaoni,"India, Nepal",vulnerable,2003783,1
Aymara,"Bolivia (Plurinational State of), Chile, Peru",vulnerable,2000000,1
Emilian-Romagnol,"Italy, San Marino",definitely endangered,2000000,2
Piedmontese,Italy,definitely endangered,2000000,2
Venetan,"Croatia, Italy, Slovenia",vulnerable,2000000,1
Zazaki,Turkey,vulnerable,2000000,1
Kurux,India,vulnerable,1751489,1
Tamajeq,Niger,vulnerable,1750000,1
Tulu,India,vulnerable,1722768,1
Kangdi,India,definitely endangered,1700000,2
Scots,United Kingdom of Great Britain and Northern Ireland,vulnerable,1500000,1
Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia",vulnerable,1500000,1
West Flemish,"Belgium, France, Netherlands",vulnerable,1500000,1
Bashkir,Russian Federation,vulnerable,1379727,1
Chechen,Russian Federation,vulnerable,1331844,1
Chuvash,Russian Federation,vulnerable,1325382,1
