Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level,Total_Speakers,Duplicate_Columns,Endangerment_Level
ganne,South Africa,extinct,0,5.0,0,True,
aingae  cofan,Ecuador,definitely endangered,700,2.0,700,True,
aingae  cofan,Colombia,severely endangered,379,3.0,379,True,
atong,India,severely endangered,1000,3.0,1000,True,
aasax,United Republic of Tanzania,extinct,0,5.0,0,True,
abaga,Papua New Guinea,critically endangered,5,4.0,5,True,
abai sungai,Malaysia,definitely endangered,400,2.0,400,True,
abaza,"Russian Federation, Turkey",definitely endangered,31000,2.0,31000,True,
abkhaz,"Georgia, Russian Federation, Turkey",vulnerable,125000,1.0,125000,True,
acatepec mazatec,Mexico,vulnerable,1038,1.0,1038,True,
achagua,Colombia,severely endangered,283,3.0,283,True,
acheron,Sudan,severely endangered,70000,3.0,70000,True,
achi,Guatemala,vulnerable,82640,1.0,82640,True,
achuar,"Ecuador, Peru",definitely endangered,2500,2.0,2500,True,
achumawi,United States of America,critically endangered,10,4.0,10,True,
ach,Paraguay,definitely endangered,1000,2.0,1000,True,
acomalaguna,United States of America,definitely endangered,4000,2.0,4000,True,
adabe,Timor-Leste,vulnerable,1000,1.0,1000,True,
adi,"China, India",vulnerable,170000,1.0,170000,True,
adnyamathanha,Australia,definitely endangered,100,2.0,100,True,
adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey",vulnerable,300000,1.0,300000,True,
afitti,Sudan,severely endangered,4512,3.0,4512,True,
agul,Russian Federation,definitely endangered,29399,2.0,29399,True,
aheu,Lao People's Democratic Republic,definitely endangered,500,2.0,500,True,
ahom,India,extinct,0,5.0,0,True,
ahtna,United States of America,critically endangered,25,4.0,25,True,
aikana,Brazil,definitely endangered,150,2.0,150,True,
aimol,India,critically endangered,2643,4.0,2643,True,
ainbai,Papua New Guinea,severely endangered,100,3.0,100,True,
ainu,Japan,critically endangered,15,4.0,15,True,
ainu,Russian Federation,extinct,0,5.0,0,True,
aiton,India,severely endangered,2000,3.0,2000,True,
aivilingmiutut,Canada,vulnerable,1245,1.0,1245,True,
aja,Sudan,critically endangered,200,4.0,200,True,
ajuru,Brazil,severely endangered,8,3.0,8,True,
ak,Papua New Guinea,severely endangered,83,3.0,83,True,
aka,"India, Sudan",definitely endangered,4000,2.0,4000,True,
aka,India,critically endangered,300,4.0,300,True,
akatek,Guatemala,vulnerable,35763,1.0,35763,True,
akatek,Mexico,vulnerable,532,1.0,532,True,
akawaio,"Guyana, Venezuela (Bolivarian Republic of)",definitely endangered,5800,2.0,5800,True,
akawaio,Brazil,vulnerable,1170,1.0,1170,True,
akeu,"Lao People's Democratic Republic, Myanmar, Thailand",definitely endangered,5000,2.0,5000,True,
akhvakh,Russian Federation,definitely endangered,5793,2.0,5793,True,
akie,United Republic of Tanzania,critically endangered,1000,4.0,1000,True,
akkala saami,Russian Federation,extinct,0,5.0,0,True,
akum,"Cameroon, Nigeria",critically endangered,600,4.0,600,True,
akuntsu,Brazil,critically endangered,6,4.0,6,True,
akuriyo,Suriname,critically endangered,1000,4.0,1000,True,
akwwa,Brazil,vulnerable,1548,1.0,1548,True,
alabama,United States of America,definitely endangered,275,2.0,275,True,
alabat island agta,Philippines,critically endangered,30,4.0,30,True,
alabugat tatar,Russian Federation,definitely endangered,422,2.0,422,True,
alawa,Australia,critically endangered,22,4.0,22,True,
alderney french,United Kingdom of Great Britain and Northern Ireland,extinct,0,5.0,0,True,
alemannic,"Germany, Austria, France, Italy, Liechtenstein, Switzerland",vulnerable,1000,1.0,1000,True,
aleut,United States of America,critically endangered,150,4.0,150,True,
aleut,Russian Federation,critically endangered,5,4.0,5,True,
algherese catalan,Italy,definitely endangered,10000,2.0,10000,True,
alpine provenal,"France, Italy",definitely endangered,200000,2.0,200000,True,
alune,Indonesia,vulnerable,12000,1.0,12000,True,
aluo,China,definitely endangered,20000,2.0,20000,True,
alutor,Russian Federation,severely endangered,1000,3.0,1000,True,
amahai,Indonesia,critically endangered,30,4.0,30,True,
amahuaca,Peru,severely endangered,500,3.0,500,True,
amami,Japan,definitely endangered,1000,2.0,1000,True,
amanay,Brazil,extinct,0,5.0,0,True,
amba,Uganda,vulnerable,16000,1.0,16000,True,
amblong,Vanuatu,definitely endangered,150,2.0,150,True,
amis,China,vulnerable,30000,1.0,30000,True,
amok,"China, Lao People's Democratic Republic, Myanmar, Thailand",critically endangered,1000,4.0,1000,True,
ampibabo lauje,Indonesia,vulnerable,6000,1.0,6000,True,
anal,India,vulnerable,23000,1.0,23000,True,
anamb,Brazil,critically endangered,6,4.0,6,True,
andi,Russian Federation,definitely endangered,23729,2.0,23729,True,
andio,Indonesia,vulnerable,1700,1.0,1700,True,
andoa,Peru,critically endangered,2,4.0,2,True,
andoa,Ecuador,extinct,0,5.0,0,True,
andoke,Colombia,severely endangered,597,3.0,597,True,
andro,India,extinct,0,5.0,0,True,
anfillo,Ethiopia,critically endangered,500,4.0,500,True,
angami,India,vulnerable,132000,1.0,132000,True,
angika,"India, Nepal",vulnerable,740892,1.0,740892,True,
angku,Myanmar,critically endangered,1000,4.0,1000,True,
animere,Ghana,critically endangered,700,4.0,700,True,
anindilyakwa,Australia,vulnerable,2000,1.0,2000,True,
antakirinya,Australia,definitely endangered,200,2.0,200,True,
antoniano,United States of America,extinct,0,5.0,0,True,
anuki,Papua New Guinea,definitely endangered,542,2.0,542,True,
anung,China,critically endangered,5000,4.0,5000,True,
anung,Myanmar,severely endangered,3500,3.0,3500,True,
anus,Indonesia,severely endangered,70,3.0,70,True,
ao,India,vulnerable,243000,1.0,243000,True,
aore,Vanuatu,extinct,0,5.0,0,True,
apalai,Brazil,vulnerable,317,1.0,317,True,
apatani,India,vulnerable,35000,1.0,35000,True,
apiak,Brazil,critically endangered,1,4.0,1,True,
apinaj,Brazil,vulnerable,1500,1.0,1500,True,
apolista,Bolivia (Plurinational State of),extinct,0,5.0,0,True,
apurin,Brazil,definitely endangered,2000,2.0,2000,True,
aputai,Indonesia,critically endangered,120,4.0,120,True,
aqaw gelao,China,critically endangered,5,4.0,5,True,
arabana,Australia,critically endangered,6,4.0,6,True,
arabela,Peru,severely endangered,50,3.0,50,True,
aragonese,Spain,definitely endangered,10000,2.0,10000,True,
araki,Vanuatu,critically endangered,8,4.0,8,True,
araona,Bolivia (Plurinational State of),severely endangered,81,3.0,81,True,
arapaho,United States of America,severely endangered,1000,3.0,1000,True,
arapso,Brazil,extinct,0,5.0,0,True,
arara do par,Brazil,vulnerable,271,1.0,271,True,
arawet,Brazil,vulnerable,339,1.0,339,True,
arawun,Papua New Guinea,severely endangered,73,3.0,73,True,
arbanasi,Croatia,severely endangered,500,3.0,500,True,
arbore,Ethiopia,definitely endangered,4441,2.0,4441,True,
arbresh,Italy,definitely endangered,80000,2.0,80000,True,
archi,Russian Federation,definitely endangered,524,2.0,524,True,
arem,"Lao People's Democratic Republic, Viet Nam",severely endangered,100,3.0,100,True,
argobba,Ethiopia,critically endangered,8000,4.0,8000,True,
arguni,Indonesia,vulnerable,150,1.0,150,True,
arha,New Caledonia (France),critically endangered,50,4.0,50,True,
arho,New Caledonia (France),critically endangered,10,4.0,10,True,
ari,Papua New Guinea,severely endangered,80,3.0,80,True,
aribwatsa,Papua New Guinea,extinct,0,5.0,0,True,
arikapu,Brazil,critically endangered,2,4.0,2,True,
arikara,United States of America,critically endangered,10,4.0,10,True,
arin,Russian Federation,extinct,0,5.0,0,True,
arman,Russian Federation,extinct,0,5.0,0,True,
aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia",definitely endangered,500000,2.0,500000,True,
arrernte,Australia,vulnerable,2000,1.0,2000,True,
arta,Philippines,extinct,0,5.0,0,True,
aruaco,Colombia,vulnerable,14799,1.0,14799,True,
aru,Brazil,severely endangered,12,3.0,12,True,
arvanitika,Greece,severely endangered,50000,3.0,50000,True,
arra shawdwa,Brazil,critically endangered,9,4.0,9,True,
as,Indonesia,vulnerable,230,1.0,230,True,
ashaninka,Peru,vulnerable,62468,1.0,62468,True,
ashaninka,Brazil,vulnerable,813,1.0,813,True,
ashkun,Afghanistan,definitely endangered,2000,2.0,2000,True,
ashtiani,Iran (Islamic Republic of),definitely endangered,21000,2.0,21000,True,
assiniboine,United States of America,critically endangered,150,4.0,150,True,
assiniboine,Canada,critically endangered,80,4.0,80,True,
asturianleonese,"Spain, Portugal",definitely endangered,150000,2.0,150000,True,
asumboa,Solomon Islands,severely endangered,40,3.0,40,True,
