Language,Countries,Degree of endangerment,Number of speakers,Endangerment_Level
ganne,South Africa,Extinct,0,5
aingae  cofan colombia,Colombia,Severely endangered,379,3
aingae  cofan ecuador,Ecuador,Definitely endangered,700,2
atong,India,Severely endangered,1000,3
aasax,United Republic of Tanzania,Extinct,0,5
abaga,Papua New Guinea,Critically endangered,5,4
abai sungai,Malaysia,Definitely endangered,400,2
abaza,"Russian Federation, Turkey",Definitely endangered,31000,2
abkhaz,"Georgia, Russian Federation, Turkey",Vulnerable,125000,1
acatepec mazatec,Mexico,Vulnerable,1038,1
achagua,Colombia,Severely endangered,283,3
acheron,Sudan,Severely endangered,70000,3
achi,Guatemala,Vulnerable,82640,1
achuar,"Ecuador, Peru",Definitely endangered,2500,2
achumawi,United States of America,Critically endangered,10,4
ach,Paraguay,Definitely endangered,1000,2
acomalaguna,United States of America,Definitely endangered,4000,2
adabe,Timor-Leste,Vulnerable,1000,1
adi,"China, India",Vulnerable,170000,1
adnyamathanha,Australia,Definitely endangered,100,2
adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey",Vulnerable,300000,1
afitti,Sudan,Severely endangered,4512,3
agul,Russian Federation,Definitely endangered,29399,2
aheu,Lao People's Democratic Republic,Definitely endangered,500,2
ahom,India,Extinct,0,5
ahtna,United States of America,Critically endangered,25,4
aikana,Brazil,Definitely endangered,150,2
aimol,India,Critically endangered,2643,4
ainbai,Papua New Guinea,Severely endangered,100,3
ainu hokkaido,Japan,Critically endangered,15,4
ainu kuril,Russian Federation,Extinct,0,5
ainu sakhalin,Russian Federation,Extinct,0,5
aiton,India,Severely endangered,2000,3
aivilingmiutut,Canada,Vulnerable,1245,1
aja,Sudan,Critically endangered,200,4
ajuru,Brazil,Severely endangered,8,3
ak,Papua New Guinea,Severely endangered,83,3
aka,"India, Sudan",Definitely endangered,4000,2
aka,India,Critically endangered,300,4
akatek guatemala,Guatemala,Vulnerable,35763,1
akatek mexico,Mexico,Vulnerable,532,1
akawaio brazil,Brazil,Vulnerable,1170,1
akawaio guyana venezuela,"Guyana, Venezuela (Bolivarian Republic of)",Definitely endangered,5800,2
akeu,"Lao People's Democratic Republic, Myanmar, Thailand",Definitely endangered,5000,2
akhvakh,Russian Federation,Definitely endangered,5793,2
akie,United Republic of Tanzania,Critically endangered,1000,4
akkala saami,Russian Federation,Extinct,0,5
akum,"Cameroon, Nigeria",Critically endangered,600,4
akuntsu,Brazil,Critically endangered,6,4
akuriyo,Suriname,Critically endangered,1000,4
akwwa,Brazil,Vulnerable,1548,1
alabama,United States of America,Definitely endangered,275,2
alabat island agta,Philippines,Critically endangered,30,4
alabugat tatar,Russian Federation,Definitely endangered,422,2
alawa,Australia,Critically endangered,22,4
alderney french,United Kingdom of Great Britain and Northern Ireland,Extinct,0,5
alemannic,"Germany, Austria, France, Italy, Liechtenstein, Switzerland",Vulnerable,1000,1
aleut eastern,United States of America,Critically endangered,150,4
aleut western,United States of America,Severely endangered,150,3
aleut western commander islands,Russian Federation,Critically endangered,5,4
algherese catalan,Italy,Definitely endangered,10000,2
alpine provenal,"France, Italy",Definitely endangered,200000,2
alune,Indonesia,Vulnerable,12000,1
aluo,China,Definitely endangered,20000,2
alutor,Russian Federation,Severely endangered,1000,3
amahai,Indonesia,Critically endangered,30,4
amahuaca,Peru,Severely endangered,500,3
amami,Japan,Definitely endangered,1000,2
amanay,Brazil,Extinct,0,5
amba,Uganda,Vulnerable,16000,1
amblong,Vanuatu,Definitely endangered,150,2
amis,China,Vulnerable,30000,1
amok,"China, Lao People's Democratic Republic, Myanmar, Thailand",Critically endangered,1000,4
ampibabo lauje,Indonesia,Vulnerable,6000,1
anal,India,Vulnerable,23000,1
anamb,Brazil,Critically endangered,6,4
andi,Russian Federation,Definitely endangered,23729,2
andio,Indonesia,Vulnerable,1700,1
andoa ecuador,Ecuador,Extinct,0,5
andoa peru,Peru,Critically endangered,2,4
andoke,Colombia,Severely endangered,597,3
andro,India,Extinct,0,5
anfillo,Ethiopia,Critically endangered,500,4
angami,India,Vulnerable,132000,1
angika,"India, Nepal",Vulnerable,740892,1
angku,Myanmar,Critically endangered,1000,4
animere,Ghana,Critically endangered,700,4
anindilyakwa,Australia,Vulnerable,2000,1
antakirinya,Australia,Definitely endangered,200,2
antoniano,United States of America,Extinct,0,5
anuki,Papua New Guinea,Definitely endangered,542,2
anung china,China,Critically endangered,5000,4
anung myanmar,Myanmar,Severely endangered,3500,3
anus,Indonesia,Severely endangered,70,3
ao,India,Vulnerable,243000,1
aore,Vanuatu,Extinct,0,5
apalai,Brazil,Vulnerable,317,1
apatani,India,Vulnerable,35000,1
apiak,Brazil,Critically endangered,1,4
apinaj,Brazil,Vulnerable,1500,1
apolista,Bolivia (Plurinational State of),Extinct,0,5
apurin,Brazil,Definitely endangered,2000,2
aputai,Indonesia,Critically endangered,120,4
aqaw gelao,China,Critically endangered,5,4
arabana,Australia,Critically endangered,6,4
